1, 396
2, 261
3, 455
4, 350
5, 343
6, 430
7, 422
8, 298
9, 320
10, 313
11, 301
12, 261
13, 1265
14, 269
15, 404
16, 466
17, 656
18, 315
19, 331
20, 254
21, 389
22, 369
23, 689
24, 290
25, 656
26, 505
27, 853
28, 626
29, 422
30, 670
31, 525
32, 451
33, 386
34, 245
35, 273
36, 262
37, 277
38, 613
39, 294
40, 363
41, 268
42, 245
43, 291
44, 272
45, 860
46, 256
47, 299
48, 595
49, 438
50, 582
51, 457
52, 246
53, 285
54, 295
55, 246
56, 715
57, 436
58, 393
59, 426
60, 452
61, 470
62, 332
63, 799
64, 669
65, 348
66, 256
67, 343
68, 323
69, 286
70, 359
71, 562
72, 315
73, 306
74, 357
75, 267
76, 698
77, 430
78, 269
79, 464
80, 8215
81, 387
82, 634
83, 335
84, 327
85, 607
86, 1080
87, 414
88, 366
89, 683
90, 546
91, 758
92, 377
93, 454
94, 245
95, 315
96, 370
97, 679
98, 342
99, 784
100, 444
101, 463
102, 494
103, 881
104, 522
105, 694
106, 410
107, 849
108, 357
109, 642
110, 318
111, 743
112, 246
113, 277
114, 319
115, 302
116, 302
117, 609
118, 274
119, 292
120, 965
