#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 6.782370 3.013255
0.106228 0.106831 0.325926 0.326850 4.749020 2.100743
0.417672 0.426998 0.646275 0.653451 2.980212 1.318728
0.913107 0.957681 0.955566 0.978612 1.310453 0.579419
1.558772 1.688669 1.248508 1.299488 0.771597 0.341115
2.310664 2.596100 1.520087 1.611242 0.437556 0.193333
3.117543 3.637134 1.765657 1.907127 0.281763 0.124778
3.924423 4.747779 1.981016 2.178940 0.187117 0.082681
4.676315 5.845393 2.162479 2.417725 0.155834 0.068953
5.321979 6.836177 2.306941 2.614608 0.137455 0.060773
5.817415 7.626655 2.411932 2.761640 0.123394 0.054626
6.128858 8.137005 2.475653 2.852544 0.109849 0.048556
6.235086 8.313448 2.497015 2.883305 0.098799 0.043856
