#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 18.869065 8.516889
0.092536 0.093062 0.304198 0.305060 12.343234 5.474507
0.363838 0.371963 0.603190 0.609887 5.578395 2.472866
0.795418 0.834247 0.891862 0.913371 2.379039 1.052659
1.357863 1.471019 1.165274 1.212856 1.062409 0.469966
2.012845 2.261492 1.418748 1.503826 0.550555 0.243477
2.715727 3.168348 1.647946 1.779985 0.351673 0.155533
3.418609 4.135843 1.848948 2.033677 0.258469 0.114284
4.073590 5.091988 2.018314 2.256543 0.183632 0.081173
4.636036 5.955070 2.153146 2.440301 0.165546 0.073122
5.067615 6.643665 2.251136 2.577531 0.143717 0.063610
5.338917 7.088237 2.310610 2.662374 0.128950 0.056984
5.431454 7.241938 2.330548 2.691085 0.118480 0.052744
