#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 4.623656 0.160564
0.068148 0.068535 0.261052 0.261793 4.516565 0.128771
0.267949 0.273932 0.517638 0.523385 2.982723 0.085423
0.585786 0.614382 0.765367 0.783825 1.661454 0.054265
1.000000 1.083333 1.000000 1.040833 0.925363 0.028556
1.482362 1.665478 1.217523 1.290534 0.628257 0.020843
2.000000 2.333333 1.414214 1.527525 0.400177 0.012181
2.517638 3.045847 1.586707 1.745235 0.273239 0.008359
3.000000 3.750000 1.732051 1.936492 0.241246 0.008313
3.414214 4.385618 1.847759 2.094187 0.196068 0.006026
3.732051 4.892734 1.931852 2.211953 0.175512 0.004855
3.931852 5.220140 1.982890 2.284763 0.157076 0.005123
4.000000 5.333333 2.000000 2.309401 0.159754 0.007588
