#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 3.364752 0.108570
0.068148 0.068535 0.261052 0.261793 3.318514 0.106484
0.267949 0.273932 0.517638 0.523385 2.426325 0.074043
0.585786 0.614382 0.765367 0.783825 1.631355 0.051210
1.000000 1.083333 1.000000 1.040833 0.951712 0.029843
1.482362 1.665478 1.217523 1.290534 0.579693 0.016514
2.000000 2.333333 1.414214 1.527525 0.405255 0.012021
2.517638 3.045847 1.586707 1.745235 0.296059 0.009245
3.000000 3.750000 1.732051 1.936492 0.230219 0.007312
3.414214 4.385618 1.847759 2.094187 0.195460 0.006465
3.732051 4.892734 1.931852 2.211953 0.177355 0.006124
3.931852 5.220140 1.982890 2.284763 0.167101 0.005222
4.000000 5.333333 2.000000 2.309401 0.170124 0.008565
