#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 7.114341 0.222539
0.068148 0.068535 0.261052 0.261793 5.825407 0.186766
0.267949 0.273932 0.517638 0.523385 3.187591 0.099776
0.585786 0.614382 0.765367 0.783825 1.597007 0.047230
1.000000 1.083333 1.000000 1.040833 0.849866 0.029490
1.482362 1.665478 1.217523 1.290534 0.518864 0.015491
2.000000 2.333333 1.414214 1.527525 0.331692 0.009935
2.517638 3.045847 1.586707 1.745235 0.258292 0.007813
3.000000 3.750000 1.732051 1.936492 0.197397 0.006586
3.414214 4.385618 1.847759 2.094187 0.173537 0.005299
3.732051 4.892734 1.931852 2.211953 0.159327 0.005444
3.931852 5.220140 1.982890 2.284763 0.150203 0.004440
4.000000 5.333333 2.000000 2.309401 0.143052 0.006577
