#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 4.744179 0.295514
0.068148 0.068535 0.261052 0.261793 3.566493 0.160968
0.267949 0.273932 0.517638 0.523385 2.440267 0.111022
0.585786 0.614382 0.765367 0.783825 1.289329 0.063426
1.000000 1.083333 1.000000 1.040833 0.805872 0.033250
1.482362 1.665478 1.217523 1.290534 0.486706 0.022964
2.000000 2.333333 1.414214 1.527525 0.363964 0.018071
2.517638 3.045847 1.586707 1.745235 0.242995 0.011171
3.000000 3.750000 1.732051 1.936492 0.179633 0.008697
3.414214 4.385618 1.847759 2.094187 0.149096 0.006024
3.732051 4.892734 1.931852 2.211953 0.151769 0.006547
3.931852 5.220140 1.982890 2.284763 0.140748 0.006767
4.000000 5.333333 2.000000 2.309401 0.147899 0.009667
