#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 2.818557 0.102643
0.068148 0.068535 0.261052 0.261793 2.853132 0.085063
0.267949 0.273932 0.517638 0.523385 2.299922 0.071935
0.585786 0.614382 0.765367 0.783825 1.447579 0.041979
1.000000 1.083333 1.000000 1.040833 0.990890 0.031207
1.482362 1.665478 1.217523 1.290534 0.619713 0.018817
2.000000 2.333333 1.414214 1.527525 0.429109 0.014048
2.517638 3.045847 1.586707 1.745235 0.316392 0.009272
3.000000 3.750000 1.732051 1.936492 0.238826 0.008361
3.414214 4.385618 1.847759 2.094187 0.211759 0.006110
3.732051 4.892734 1.931852 2.211953 0.190971 0.006699
3.931852 5.220140 1.982890 2.284763 0.163369 0.004912
4.000000 5.333333 2.000000 2.309401 0.158774 0.008056
