#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 8.936758 3.977435
0.100242 0.100811 0.316610 0.317508 6.554085 2.900784
0.394136 0.402937 0.627803 0.634773 3.677343 1.626840
0.861654 0.903716 0.928253 0.950640 1.611554 0.712732
1.470936 1.593514 1.212821 1.262345 0.820205 0.362431
2.180459 2.449812 1.476638 1.565187 0.479341 0.212128
2.941872 3.432183 1.715188 1.852615 0.308885 0.136674
3.703284 4.480245 1.924392 2.116659 0.221927 0.098165
4.412807 5.516009 2.100668 2.348619 0.169367 0.074977
5.022089 6.450963 2.241002 2.539875 0.141909 0.062758
5.489607 7.196898 2.342991 2.682704 0.116507 0.051497
5.783501 7.678490 2.404891 2.771009 0.115301 0.050950
5.883743 7.844991 2.425643 2.800891 0.119705 0.053202
