#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 2.702690 1.192882
0.116586 0.117248 0.341446 0.342414 2.640092 1.164076
0.458397 0.468633 0.677050 0.684567 1.743507 0.768766
1.002140 1.051060 1.001070 1.025212 0.971179 0.428494
1.710761 1.853324 1.307960 1.361368 0.540907 0.238584
2.535966 2.849235 1.592472 1.687968 0.367238 0.162043
3.421521 3.991775 1.849735 1.997943 0.233917 0.103170
4.307076 5.210714 2.075350 2.282699 0.159718 0.070446
5.132282 6.415352 2.265454 2.532855 0.141017 0.062237
5.840902 7.502743 2.416796 2.739113 0.114608 0.050551
6.384645 8.370297 2.526786 2.893147 0.102593 0.045230
6.726457 8.930409 2.593541 2.988379 0.091817 0.040510
6.843042 9.124056 2.615921 3.020605 0.093382 0.041327
