#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 6.467558 0.397654
0.068148 0.068535 0.261052 0.261793 4.852996 0.231525
0.267949 0.273932 0.517638 0.523385 2.914248 0.134990
0.585786 0.614382 0.765367 0.783825 1.596565 0.072476
1.000000 1.083333 1.000000 1.040833 0.885214 0.035949
1.482362 1.665478 1.217523 1.290534 0.569980 0.025537
2.000000 2.333333 1.414214 1.527525 0.385757 0.016846
2.517638 3.045847 1.586707 1.745235 0.284656 0.014267
3.000000 3.750000 1.732051 1.936492 0.220918 0.010232
3.414214 4.385618 1.847759 2.094187 0.185741 0.008299
3.732051 4.892734 1.931852 2.211953 0.180001 0.007538
3.931852 5.220140 1.982890 2.284763 0.154521 0.006374
4.000000 5.333333 2.000000 2.309401 0.159785 0.010594
