#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 5.338543 0.176774
0.068148 0.068535 0.261052 0.261793 4.997013 0.161784
0.267949 0.273932 0.517638 0.523385 3.242221 0.100368
0.585786 0.614382 0.765367 0.783825 1.676240 0.051350
1.000000 1.083333 1.000000 1.040833 0.918992 0.029178
1.482362 1.665478 1.217523 1.290534 0.546198 0.017662
2.000000 2.333333 1.414214 1.527525 0.385854 0.011916
2.517638 3.045847 1.586707 1.745235 0.291945 0.008673
3.000000 3.750000 1.732051 1.936492 0.229404 0.007463
3.414214 4.385618 1.847759 2.094187 0.183773 0.005667
3.732051 4.892734 1.931852 2.211953 0.163760 0.004748
3.931852 5.220140 1.982890 2.284763 0.157620 0.004823
4.000000 5.333333 2.000000 2.309401 0.150295 0.006320
