#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 2.717230 1.199822
0.092536 0.093062 0.304198 0.305060 2.482067 1.094337
0.363838 0.371963 0.603190 0.609887 2.003224 0.883164
0.795418 0.834247 0.891862 0.913371 1.222686 0.539498
1.357863 1.471019 1.165274 1.212856 0.691521 0.304876
2.012845 2.261492 1.418748 1.503826 0.472537 0.208527
2.715727 3.168348 1.647946 1.779985 0.301599 0.132994
3.418609 4.135843 1.848948 2.033677 0.224540 0.099045
4.073590 5.091988 2.018314 2.256543 0.173410 0.076500
4.636036 5.955070 2.153146 2.440301 0.156757 0.069130
5.067615 6.643665 2.251136 2.577531 0.133412 0.058834
5.338917 7.088237 2.310610 2.662374 0.123883 0.054643
5.431454 7.241938 2.330548 2.691085 0.109569 0.048466
