#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 25.621613 2.579134
0.068148 0.068535 0.261052 0.261793 16.760426 0.935068
0.267949 0.273932 0.517638 0.523385 7.574699 0.408548
0.585786 0.614382 0.765367 0.783825 3.230410 0.150892
1.000000 1.083333 1.000000 1.040833 1.442607 0.065818
1.482362 1.665478 1.217523 1.290534 0.747579 0.033222
2.000000 2.333333 1.414214 1.527525 0.477523 0.021360
2.517638 3.045847 1.586707 1.745235 0.350965 0.015313
3.000000 3.750000 1.732051 1.936492 0.249347 0.010585
3.414214 4.385618 1.847759 2.094187 0.224789 0.008706
3.732051 4.892734 1.931852 2.211953 0.195147 0.009364
3.931852 5.220140 1.982890 2.284763 0.175097 0.007187
4.000000 5.333333 2.000000 2.309401 0.160880 0.010881
