#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 4.011044 0.136084
0.068148 0.068535 0.261052 0.261793 3.787377 0.112188
0.267949 0.273932 0.517638 0.523385 2.882786 0.094574
0.585786 0.614382 0.765367 0.783825 1.665060 0.048311
1.000000 1.083333 1.000000 1.040833 1.004331 0.034430
1.482362 1.665478 1.217523 1.290534 0.639722 0.021624
2.000000 2.333333 1.414214 1.527525 0.420606 0.013604
2.517638 3.045847 1.586707 1.745235 0.309805 0.009410
3.000000 3.750000 1.732051 1.936492 0.221082 0.006905
3.414214 4.385618 1.847759 2.094187 0.199401 0.006322
3.732051 4.892734 1.931852 2.211953 0.177001 0.005246
3.931852 5.220140 1.982890 2.284763 0.165555 0.005096
4.000000 5.333333 2.000000 2.309401 0.161025 0.007085
