#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 3.176682 1.411321
0.138746 0.139534 0.372487 0.373543 2.383655 1.054955
0.545530 0.557712 0.738600 0.746801 1.431397 0.633295
1.192630 1.250849 1.092076 1.118414 0.784188 0.346874
2.035948 2.205610 1.426866 1.485130 0.434792 0.192122
3.018011 3.390826 1.737242 1.841420 0.279958 0.123819
4.071895 4.750544 2.017894 2.179574 0.189473 0.083778
5.125779 6.201184 2.264018 2.490218 0.139815 0.061917
6.107843 7.634803 2.471405 2.763115 0.108509 0.048008
6.951160 8.928888 2.636505 2.988125 0.091231 0.040348
7.598260 9.961350 2.756494 3.156161 0.088412 0.039077
8.005044 10.627931 2.829319 3.260051 0.075896 0.033541
8.143790 10.858387 2.853733 3.295207 0.078482 0.034922
