#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 0.685434 0.304123
0.385407 0.387595 0.620811 0.622572 0.614860 0.272049
1.515362 1.549198 1.231000 1.244668 0.349051 0.154263
3.312861 3.474580 1.820127 1.864022 0.222151 0.098259
5.655407 6.126691 2.378110 2.475215 0.112077 0.049604
8.383360 9.418958 2.895403 3.069032 0.084830 0.037513
11.310814 13.195950 3.363155 3.632623 0.056585 0.025003
14.238268 17.225502 3.773363 4.150362 0.040526 0.017921
16.966221 21.207776 4.119007 4.605190 0.032954 0.014566
19.308767 24.802455 4.394174 4.980206 0.028283 0.012503
21.106266 27.670405 4.594156 5.260267 0.026163 0.011585
22.236222 29.522015 4.715530 5.433417 0.022802 0.010079
22.621628 30.162171 4.756220 5.492010 0.024095 0.010701
