#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 28.783059 12.809132
0.078045 0.078488 0.279365 0.280157 18.643750 8.255753
0.306861 0.313713 0.553950 0.560101 7.390061 3.269783
0.670854 0.703602 0.819057 0.838810 3.083611 1.363579
1.145220 1.240655 1.070149 1.113847 1.389566 0.614154
1.697630 1.907339 1.302931 1.381064 0.743277 0.328785
2.290440 2.672180 1.513420 1.634680 0.450056 0.199211
2.883249 3.488164 1.698013 1.867663 0.350191 0.154935
3.435660 4.294575 1.853553 2.072336 0.237926 0.105183
3.910025 5.022497 1.977378 2.241093 0.194367 0.086019
4.274019 5.603257 2.067370 2.367120 0.178913 0.079097
4.502835 5.978208 2.121988 2.445037 0.165859 0.073405
4.580880 6.107839 2.140299 2.471404 0.151225 0.067288
