#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 21.412901 9.519323
0.061665 0.062015 0.248325 0.249029 17.058955 7.545631
0.242458 0.247872 0.492400 0.497867 7.747945 3.425766
0.530058 0.555933 0.728051 0.745609 3.505118 1.549737
0.904865 0.980271 0.951244 0.990086 1.868449 0.825884
1.341338 1.507033 1.158161 1.227613 0.938426 0.414661
1.809730 2.111352 1.345262 1.453049 0.600693 0.265588
2.278123 2.756080 1.509345 1.660145 0.411414 0.181821
2.714595 3.393244 1.647603 1.842076 0.311704 0.137769
3.089403 3.968393 1.757670 1.992083 0.260441 0.115191
3.377003 4.427265 1.837662 2.104107 0.223594 0.098848
3.557795 4.723522 1.886212 2.173367 0.194436 0.085975
3.619461 4.825947 1.902488 2.196804 0.216386 0.096156
