#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 7.328102 0.470736
0.068148 0.068535 0.261052 0.261793 6.137537 0.262239
0.267949 0.273932 0.517638 0.523385 3.476080 0.141651
0.585786 0.614382 0.765367 0.783825 1.753457 0.071131
1.000000 1.083333 1.000000 1.040833 0.997278 0.048905
1.482362 1.665478 1.217523 1.290534 0.597485 0.028161
2.000000 2.333333 1.414214 1.527525 0.425485 0.019533
2.517638 3.045847 1.586707 1.745235 0.295586 0.013240
3.000000 3.750000 1.732051 1.936492 0.214071 0.009916
3.414214 4.385618 1.847759 2.094187 0.210358 0.009602
3.732051 4.892734 1.931852 2.211953 0.162324 0.007230
3.931852 5.220140 1.982890 2.284763 0.163110 0.006925
4.000000 5.333333 2.000000 2.309401 0.147069 0.009138
