#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 32.962932 2.197853
0.068148 0.068535 0.261052 0.261793 21.351194 1.064594
0.267949 0.273932 0.517638 0.523385 8.463245 0.394067
0.585786 0.614382 0.765367 0.783825 3.531413 0.155647
1.000000 1.083333 1.000000 1.040833 1.591359 0.066425
1.482362 1.665478 1.217523 1.290534 0.851215 0.038728
2.000000 2.333333 1.414214 1.527525 0.515413 0.024858
2.517638 3.045847 1.586707 1.745235 0.401046 0.018571
3.000000 3.750000 1.732051 1.936492 0.272477 0.011678
3.414214 4.385618 1.847759 2.094187 0.222593 0.010575
3.732051 4.892734 1.931852 2.211953 0.204895 0.008818
3.931852 5.220140 1.982890 2.284763 0.189945 0.009057
4.000000 5.333333 2.000000 2.309401 0.173186 0.011468
