#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 2.381773 0.086850
0.068148 0.068535 0.261052 0.261793 2.432309 0.076265
0.267949 0.273932 0.517638 0.523385 2.124785 0.063782
0.585786 0.614382 0.765367 0.783825 1.511007 0.048170
1.000000 1.083333 1.000000 1.040833 0.974260 0.036060
1.482362 1.665478 1.217523 1.290534 0.669044 0.020144
2.000000 2.333333 1.414214 1.527525 0.469372 0.015202
2.517638 3.045847 1.586707 1.745235 0.342573 0.010735
3.000000 3.750000 1.732051 1.936492 0.261013 0.008266
3.414214 4.385618 1.847759 2.094187 0.234819 0.007675
3.732051 4.892734 1.931852 2.211953 0.194914 0.006027
3.931852 5.220140 1.982890 2.284763 0.189071 0.005754
4.000000 5.333333 2.000000 2.309401 0.182163 0.008107
