#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 4.283535 1.904735
0.116586 0.117248 0.341446 0.342414 3.587607 1.585972
0.458397 0.468633 0.677050 0.684567 2.031891 0.897858
1.002140 1.051060 1.001070 1.025212 1.024957 0.452894
1.710761 1.853324 1.307960 1.361368 0.582944 0.258083
2.535966 2.849235 1.592472 1.687968 0.349251 0.154550
3.421521 3.991775 1.849735 1.997943 0.248711 0.110027
4.307076 5.210714 2.075350 2.282699 0.172780 0.076416
5.132282 6.415352 2.265454 2.532855 0.125132 0.055362
5.840902 7.502743 2.416796 2.739113 0.122961 0.054393
6.384645 8.370297 2.526786 2.893147 0.094884 0.041962
6.726457 8.930409 2.593541 2.988379 0.095344 0.042146
6.843042 9.124056 2.615921 3.020605 0.085967 0.038201
