#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 10.572166 0.650219
0.068148 0.068535 0.261052 0.261793 7.402637 0.337294
0.267949 0.273932 0.517638 0.523385 4.645469 0.217970
0.585786 0.614382 0.765367 0.783825 2.042697 0.088995
1.000000 1.083333 1.000000 1.040833 1.202744 0.051641
1.482362 1.665478 1.217523 1.290534 0.682049 0.027533
2.000000 2.333333 1.414214 1.527525 0.439204 0.022024
2.517638 3.045847 1.586707 1.745235 0.291673 0.011836
3.000000 3.750000 1.732051 1.936492 0.242909 0.011363
3.414214 4.385618 1.847759 2.094187 0.214261 0.009281
3.732051 4.892734 1.931852 2.211953 0.192343 0.009386
3.931852 5.220140 1.982890 2.284763 0.171229 0.007235
4.000000 5.333333 2.000000 2.309401 0.154005 0.009034
