#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 2.726866 1.203368
0.100242 0.100811 0.316610 0.317508 2.574808 1.135466
0.394136 0.402937 0.627803 0.634773 1.959831 0.864709
0.861654 0.903716 0.928253 0.950640 1.131973 0.499144
1.470936 1.593514 1.212821 1.262345 0.682784 0.301332
2.180459 2.449812 1.476638 1.565187 0.434908 0.191921
2.941872 3.432183 1.715188 1.852615 0.285944 0.126153
3.703284 4.480245 1.924392 2.116659 0.210618 0.092891
4.412807 5.516009 2.100668 2.348619 0.150300 0.066298
5.022089 6.450963 2.241002 2.539875 0.135560 0.059801
5.489607 7.196898 2.342991 2.682704 0.120332 0.053065
5.783501 7.678490 2.404891 2.771009 0.112551 0.049643
5.883743 7.844991 2.425643 2.800891 0.109471 0.048407
