#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 1.491333 0.662729
0.216791 0.218022 0.465608 0.466929 1.121127 0.495884
0.852391 0.871424 0.923250 0.933501 0.767098 0.339323
1.863484 1.954451 1.365095 1.398017 0.405301 0.179443
3.181167 3.446264 1.783583 1.856412 0.253326 0.111952
4.715641 5.298164 2.171553 2.301774 0.152996 0.067704
6.362334 7.422723 2.522367 2.724467 0.114412 0.050661
8.009027 9.689346 2.830022 3.112771 0.076386 0.033793
9.543501 11.929376 3.089256 3.453893 0.056468 0.024996
10.861183 13.951383 3.295631 3.735155 0.046868 0.020709
11.872276 15.564604 3.445617 3.945200 0.047708 0.021092
12.507876 16.606136 3.536648 4.075063 0.044244 0.019583
12.724667 16.966223 3.567165 4.119008 0.046492 0.020681
