#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 19.375787 1.230590
0.068148 0.068535 0.261052 0.261793 15.436053 0.699389
0.267949 0.273932 0.517638 0.523385 7.010845 0.305434
0.585786 0.614382 0.765367 0.783825 3.171659 0.137654
1.000000 1.083333 1.000000 1.040833 1.690695 0.071285
1.482362 1.665478 1.217523 1.290534 0.849149 0.034471
2.000000 2.333333 1.414214 1.527525 0.543546 0.023591
2.517638 3.045847 1.586707 1.745235 0.372274 0.015409
3.000000 3.750000 1.732051 1.936492 0.282050 0.011813
3.414214 4.385618 1.847759 2.094187 0.235664 0.010598
3.732051 4.892734 1.931852 2.211953 0.202322 0.008684
3.931852 5.220140 1.982890 2.284763 0.175939 0.007705
4.000000 5.333333 2.000000 2.309401 0.195800 0.012176
