#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 2.622142 1.157005
0.138746 0.139534 0.372487 0.373543 2.454392 1.082852
0.545530 0.557712 0.738600 0.746801 1.592488 0.702427
1.192630 1.250849 1.092076 1.118414 0.823322 0.363139
2.035948 2.205610 1.426866 1.485130 0.451383 0.199125
3.018011 3.390826 1.737242 1.841420 0.268277 0.118360
4.071895 4.750544 2.017894 2.179574 0.189520 0.083594
5.125779 6.201184 2.264018 2.490218 0.143395 0.063238
6.107843 7.634803 2.471405 2.763115 0.112677 0.049713
6.951160 8.928888 2.636505 2.988125 0.090264 0.039814
7.598260 9.961350 2.756494 3.156161 0.080434 0.035468
8.005044 10.627931 2.829319 3.260051 0.077418 0.034146
8.143790 10.858387 2.853733 3.295207 0.073821 0.032629
