#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 2.465058 1.088103
0.086957 0.087451 0.294885 0.295722 2.375171 1.047508
0.341904 0.349538 0.584725 0.591217 1.724092 0.760378
0.747464 0.783952 0.864560 0.885411 1.253057 0.552699
1.276002 1.382335 1.129602 1.175728 0.716651 0.316179
1.891496 2.125153 1.375317 1.457791 0.461380 0.203558
2.552003 2.977337 1.597499 1.725496 0.349174 0.154009
3.212510 3.886505 1.792348 1.971422 0.232605 0.102567
3.828005 4.785006 1.956529 2.187466 0.193001 0.085114
4.356542 5.596056 2.087233 2.365598 0.154058 0.067914
4.762103 6.243137 2.182224 2.498627 0.137621 0.060718
5.017049 6.660907 2.239877 2.580873 0.128459 0.056651
5.104007 6.805342 2.259205 2.608705 0.117011 0.051733
