#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 2.820741 1.245132
0.106228 0.106831 0.325926 0.326850 2.717217 1.198389
0.417672 0.426998 0.646275 0.653451 1.848798 0.815854
0.913107 0.957681 0.955566 0.978612 1.115991 0.492372
1.558772 1.688669 1.248508 1.299488 0.641347 0.282827
2.310664 2.596100 1.520087 1.611242 0.366212 0.161542
3.117543 3.637134 1.765657 1.907127 0.255550 0.112792
3.924423 4.747779 1.981016 2.178940 0.192841 0.085091
4.676315 5.845393 2.162479 2.417725 0.149933 0.066144
5.321979 6.836177 2.306941 2.614608 0.129827 0.057307
5.817415 7.626655 2.411932 2.761640 0.114949 0.050712
6.128858 8.137005 2.475653 2.852544 0.102250 0.045098
6.235086 8.313448 2.497015 2.883305 0.105842 0.046838
