#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 2.236394 0.986497
0.216791 0.218022 0.465608 0.466929 1.831217 0.807872
0.852391 0.871424 0.923250 0.933501 1.002019 0.442003
1.863484 1.954451 1.365095 1.398017 0.502019 0.221387
3.181167 3.446264 1.783583 1.856412 0.267156 0.117913
4.715641 5.298164 2.171553 2.301774 0.163105 0.071931
6.362334 7.422723 2.522367 2.724467 0.104267 0.045984
8.009027 9.689346 2.830022 3.112771 0.081194 0.035810
9.543501 11.929376 3.089256 3.453893 0.062052 0.027381
10.861183 13.951383 3.295631 3.735155 0.054551 0.024060
11.872276 15.564604 3.445617 3.945200 0.050084 0.022104
12.507876 16.606136 3.536648 4.075063 0.047216 0.020822
12.724667 16.966223 3.567165 4.119008 0.044968 0.019894
