#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 3.689627 0.136854
0.068148 0.068535 0.261052 0.261793 3.370308 0.094768
0.267949 0.273932 0.517638 0.523385 2.720105 0.075346
0.585786 0.614382 0.765367 0.783825 1.660240 0.054886
1.000000 1.083333 1.000000 1.040833 0.938992 0.026100
1.482362 1.665478 1.217523 1.290534 0.641641 0.021644
2.000000 2.333333 1.414214 1.527525 0.409531 0.011924
2.517638 3.045847 1.586707 1.745235 0.304895 0.009495
3.000000 3.750000 1.732051 1.936492 0.235467 0.007495
3.414214 4.385618 1.847759 2.094187 0.212854 0.006317
3.732051 4.892734 1.931852 2.211953 0.181156 0.005357
3.931852 5.220140 1.982890 2.284763 0.168217 0.005206
4.000000 5.333333 2.000000 2.309401 0.148780 0.006748
