#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 2.461150 1.086608
0.078045 0.078488 0.279365 0.280157 2.491340 1.098703
0.306861 0.313713 0.553950 0.560101 2.008280 0.885873
0.670854 0.703602 0.819057 0.838810 1.264019 0.557375
1.145220 1.240655 1.070149 1.113847 0.865240 0.381679
1.697630 1.907339 1.302931 1.381064 0.541130 0.238664
2.290440 2.672180 1.513420 1.634680 0.374696 0.165322
2.883249 3.488164 1.698013 1.867663 0.276272 0.121829
3.435660 4.294575 1.853553 2.072336 0.208542 0.092048
3.910025 5.022497 1.977378 2.241093 0.184907 0.081534
4.274019 5.603257 2.067370 2.367120 0.166755 0.073605
4.502835 5.978208 2.121988 2.445037 0.142653 0.062914
4.580880 6.107839 2.140299 2.471404 0.138641 0.061406
