#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 3.876409 0.221491
0.068148 0.068535 0.261052 0.261793 3.477283 0.161923
0.267949 0.273932 0.517638 0.523385 1.974027 0.081866
0.585786 0.614382 0.765367 0.783825 1.256352 0.056700
1.000000 1.083333 1.000000 1.040833 0.633839 0.030288
1.482362 1.665478 1.217523 1.290534 0.479747 0.021203
2.000000 2.333333 1.414214 1.527525 0.320009 0.012968
2.517638 3.045847 1.586707 1.745235 0.229189 0.010151
3.000000 3.750000 1.732051 1.936492 0.186370 0.007848
3.414214 4.385618 1.847759 2.094187 0.159950 0.006831
3.732051 4.892734 1.931852 2.211953 0.147964 0.007340
3.931852 5.220140 1.982890 2.284763 0.128955 0.005463
4.000000 5.333333 2.000000 2.309401 0.136268 0.008201
