#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 25.231037 11.207699
0.086957 0.087451 0.294885 0.295722 16.113036 7.136142
0.341904 0.349538 0.584725 0.591217 7.219990 3.198072
0.747464 0.783952 0.864560 0.885411 2.582456 1.142089
1.276002 1.382335 1.129602 1.175728 1.233379 0.545154
1.891496 2.125153 1.375317 1.457791 0.644625 0.285304
2.552003 2.977337 1.597499 1.725496 0.391923 0.173198
3.212510 3.886505 1.792348 1.971422 0.269455 0.119214
3.828005 4.785006 1.956529 2.187466 0.206991 0.091457
4.356542 5.596056 2.087233 2.365598 0.160392 0.070960
4.762103 6.243137 2.182224 2.498627 0.147916 0.065450
5.017049 6.660907 2.239877 2.580873 0.137592 0.060851
5.104007 6.805342 2.259205 2.608705 0.142383 0.063300
