#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 4.396891 0.155568
0.068148 0.068535 0.261052 0.261793 4.235520 0.127932
0.267949 0.273932 0.517638 0.523385 2.881853 0.097127
0.585786 0.614382 0.765367 0.783825 1.739576 0.056500
1.000000 1.083333 1.000000 1.040833 0.999713 0.029522
1.482362 1.665478 1.217523 1.290534 0.570841 0.017912
2.000000 2.333333 1.414214 1.527525 0.398344 0.013834
2.517638 3.045847 1.586707 1.745235 0.300595 0.009976
3.000000 3.750000 1.732051 1.936492 0.233711 0.007475
3.414214 4.385618 1.847759 2.094187 0.202371 0.007128
3.732051 4.892734 1.931852 2.211953 0.179180 0.005759
3.931852 5.220140 1.982890 2.284763 0.159384 0.004867
4.000000 5.333333 2.000000 2.309401 0.164983 0.007796
