#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 33.796255 3.326573
0.068148 0.068535 0.261052 0.261793 21.655156 1.252246
0.267949 0.273932 0.517638 0.523385 7.833433 0.382625
0.585786 0.614382 0.765367 0.783825 3.185568 0.143835
1.000000 1.083333 1.000000 1.040833 1.469973 0.067092
1.482362 1.665478 1.217523 1.290534 0.749759 0.036000
2.000000 2.333333 1.414214 1.527525 0.455552 0.021085
2.517638 3.045847 1.586707 1.745235 0.334523 0.014057
3.000000 3.750000 1.732051 1.936492 0.247273 0.010756
3.414214 4.385618 1.847759 2.094187 0.220457 0.009800
3.732051 4.892734 1.931852 2.211953 0.176095 0.007637
3.931852 5.220140 1.982890 2.284763 0.179043 0.007593
4.000000 5.333333 2.000000 2.309401 0.158149 0.011749
