#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 13.145397 0.880571
0.068148 0.068535 0.261052 0.261793 9.640638 0.461568
0.267949 0.273932 0.517638 0.523385 5.409135 0.248973
0.585786 0.614382 0.765367 0.783825 2.370492 0.106071
1.000000 1.083333 1.000000 1.040833 1.206468 0.049176
1.482362 1.665478 1.217523 1.290534 0.705080 0.033421
2.000000 2.333333 1.414214 1.527525 0.454350 0.021264
2.517638 3.045847 1.586707 1.745235 0.326440 0.014820
3.000000 3.750000 1.732051 1.936492 0.249128 0.012156
3.414214 4.385618 1.847759 2.094187 0.208739 0.009287
3.732051 4.892734 1.931852 2.211953 0.171374 0.007222
3.931852 5.220140 1.982890 2.284763 0.169600 0.006929
4.000000 5.333333 2.000000 2.309401 0.176078 0.011049
