#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 3.145418 0.110905
0.068148 0.068535 0.261052 0.261793 3.030722 0.091036
0.267949 0.273932 0.517638 0.523385 2.199945 0.066300
0.585786 0.614382 0.765367 0.783825 1.598903 0.049338
1.000000 1.083333 1.000000 1.040833 0.914448 0.029610
1.482362 1.665478 1.217523 1.290534 0.588722 0.019095
2.000000 2.333333 1.414214 1.527525 0.445547 0.013662
2.517638 3.045847 1.586707 1.745235 0.296804 0.008592
3.000000 3.750000 1.732051 1.936492 0.246269 0.007326
3.414214 4.385618 1.847759 2.094187 0.196578 0.005323
3.732051 4.892734 1.931852 2.211953 0.175604 0.005705
3.931852 5.220140 1.982890 2.284763 0.163914 0.004885
4.000000 5.333333 2.000000 2.309401 0.149307 0.006454
