#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 1.586497 0.699865
0.385407 0.387595 0.620811 0.622572 1.198496 0.528751
1.515362 1.549198 1.231000 1.244668 0.570216 0.251520
3.312861 3.474580 1.820127 1.864022 0.256306 0.113095
5.655407 6.126691 2.378110 2.475215 0.131282 0.057913
8.383360 9.418958 2.895403 3.069032 0.080132 0.035345
11.310814 13.195950 3.363155 3.632623 0.055278 0.024381
14.238268 17.225502 3.773363 4.150362 0.042109 0.018576
16.966221 21.207776 4.119007 4.605190 0.032990 0.014552
19.308767 24.802455 4.394174 4.980206 0.028248 0.012463
21.106266 27.670405 4.594156 5.260267 0.025737 0.011351
22.236222 29.522015 4.715530 5.433417 0.024043 0.010611
22.621628 30.162171 4.756220 5.492010 0.023454 0.010381
