#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 2.632186 1.162132
0.061665 0.062015 0.248325 0.249029 2.688035 1.185735
0.242458 0.247872 0.492400 0.497867 2.348178 1.035600
0.530058 0.555933 0.728051 0.745609 1.669870 0.736669
0.904865 0.980271 0.951244 0.990086 1.076691 0.475417
1.341338 1.507033 1.158161 1.227613 0.739385 0.326090
1.809730 2.111352 1.345262 1.453049 0.518720 0.228854
2.278123 2.756080 1.509345 1.660145 0.378590 0.167002
2.714595 3.393244 1.647603 1.842076 0.288455 0.127249
3.089403 3.968393 1.757670 1.992083 0.259507 0.114498
3.377003 4.427265 1.837662 2.104107 0.215406 0.095013
3.557795 4.723522 1.886212 2.173367 0.208950 0.092158
3.619461 4.825947 1.902488 2.196804 0.201315 0.089031
