#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 4.920846 0.169411
0.152241 0.154172 0.390181 0.392648 3.687182 0.113309
0.585786 0.614382 0.765367 0.783825 1.631855 0.049991
1.234633 1.361660 1.111140 1.166902 0.746878 0.020698
2.000000 2.333333 1.414214 1.527525 0.398553 0.011015
2.765367 3.402638 1.662939 1.844624 0.272856 0.007414
3.414214 4.385618 1.847759 2.094187 0.194757 0.005619
3.847759 5.081530 1.961571 2.254225 0.166728 0.004757
4.000000 5.333333 2.000000 2.309401 0.155516 0.005996
