#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 4.213446 0.239787
0.152241 0.154172 0.390181 0.392648 3.009660 0.127553
0.585786 0.614382 0.765367 0.783825 1.316284 0.055471
1.234633 1.361660 1.111140 1.166902 0.555804 0.022957
2.000000 2.333333 1.414214 1.527525 0.345588 0.014949
2.765367 3.402638 1.662939 1.844624 0.221174 0.008498
3.414214 4.385618 1.847759 2.094187 0.170425 0.006849
3.847759 5.081530 1.961571 2.254225 0.160211 0.006859
4.000000 5.333333 2.000000 2.309401 0.139156 0.008358
