#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 3.717666 0.134133
0.152241 0.154172 0.390181 0.392648 2.917166 0.074940
0.585786 0.614382 0.765367 0.783825 1.429441 0.040122
1.234633 1.361660 1.111140 1.166902 0.660705 0.019611
2.000000 2.333333 1.414214 1.527525 0.366506 0.011002
2.765367 3.402638 1.662939 1.844624 0.245908 0.006468
3.414214 4.385618 1.847759 2.094187 0.177642 0.005230
3.847759 5.081530 1.961571 2.254225 0.166994 0.004682
4.000000 5.333333 2.000000 2.309401 0.150526 0.005848
