#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 37.105377 3.099411
0.152241 0.154172 0.390181 0.392648 15.494775 0.811775
0.585786 0.614382 0.765367 0.783825 3.521119 0.155298
1.234633 1.361660 1.111140 1.166902 1.054254 0.043914
2.000000 2.333333 1.414214 1.527525 0.483885 0.019368
2.765367 3.402638 1.662939 1.844624 0.293709 0.012217
3.414214 4.385618 1.847759 2.094187 0.204744 0.008341
3.847759 5.081530 1.961571 2.254225 0.171846 0.007302
4.000000 5.333333 2.000000 2.309401 0.156182 0.008802
