#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 5.948557 0.187138
0.152241 0.154172 0.390181 0.392648 4.097168 0.115572
0.585786 0.614382 0.765367 0.783825 1.819351 0.054352
1.234633 1.361660 1.111140 1.166902 0.728770 0.022012
2.000000 2.333333 1.414214 1.527525 0.410652 0.011441
2.765367 3.402638 1.662939 1.844624 0.236395 0.006755
3.414214 4.385618 1.847759 2.094187 0.185393 0.005523
3.847759 5.081530 1.961571 2.254225 0.167325 0.005120
4.000000 5.333333 2.000000 2.309401 0.152665 0.006455
