#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 18.046853 1.210643
0.152241 0.154172 0.390181 0.392648 10.789248 0.439861
0.585786 0.614382 0.765367 0.783825 3.644917 0.156358
1.234633 1.361660 1.111140 1.166902 1.274922 0.050567
2.000000 2.333333 1.414214 1.527525 0.566174 0.022063
2.765367 3.402638 1.662939 1.844624 0.313658 0.011425
3.414214 4.385618 1.847759 2.094187 0.233135 0.010445
3.847759 5.081530 1.961571 2.254225 0.201597 0.008583
4.000000 5.333333 2.000000 2.309401 0.168648 0.010810
