#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 1.324497 0.587633
0.484304 0.490448 0.695919 0.700320 0.946087 0.418205
1.863484 1.954451 1.365095 1.398017 0.413774 0.182894
3.927574 4.331667 1.981811 2.081266 0.174717 0.077214
6.362334 7.422723 2.522367 2.724467 0.108635 0.048030
8.797093 10.824359 2.965989 3.290039 0.069526 0.030708
10.861183 13.951383 3.295631 3.735155 0.053573 0.023670
12.240364 16.165194 3.498623 4.020596 0.050362 0.022264
12.724667 16.966223 3.567165 4.119008 0.043744 0.019426
