#p^2/a^2, p^2(melhorado)/a^2, p/a, p(melhorado)/a, a^2*med_prop, erro_prop(a)
0.000000 0.000000 0.000000 0.000000 1.910476 0.842068
0.860984 0.871908 0.927892 0.933760 0.940823 0.414768
3.312861 3.474580 1.820127 1.864022 0.262727 0.115859
6.982353 7.700740 2.642414 2.775021 0.098972 0.043657
11.310814 13.195950 3.363155 3.632623 0.055849 0.024622
15.639275 19.243303 3.954652 4.386719 0.035880 0.015829
19.308767 24.802455 4.394174 4.980206 0.028921 0.012755
21.760644 28.738120 4.664831 5.360795 0.025027 0.011034
22.621628 30.162171 4.756220 5.492010 0.024279 0.010721
