#p^2, p^2(melhorado), p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 3.460877 0.122195
0.152241 0.154172 0.390181 0.392648 2.804687 0.081666
0.585786 0.614382 0.765367 0.783825 1.510620 0.044255
1.234633 1.361660 1.111140 1.166902 0.745151 0.021772
2.000000 2.333333 1.414214 1.527525 0.427269 0.012666
2.765367 3.402638 1.662939 1.844624 0.261884 0.007908
3.414214 4.385618 1.847759 2.094187 0.221761 0.006220
3.847759 5.081530 1.961571 2.254225 0.178413 0.004703
4.000000 5.333333 2.000000 2.309401 0.169171 0.007225
