#p^2, p^2(melhorado)i, p, p(melhorado), med_prop, erro_prop
0.000000 0.000000 0.000000 0.000000 7.432397 0.560922
0.152241 0.154172 0.390181 0.392648 5.125932 0.273599
0.585786 0.614382 0.765367 0.783825 1.754919 0.068516
1.234633 1.361660 1.111140 1.166902 0.751804 0.029624
2.000000 2.333333 1.414214 1.527525 0.409668 0.017567
2.765367 3.402638 1.662939 1.844624 0.268854 0.010860
3.414214 4.385618 1.847759 2.094187 0.189400 0.007478
3.847759 5.081530 1.961571 2.254225 0.162561 0.006292
4.000000 5.333333 2.000000 2.309401 0.154436 0.009500
